# emapper version: emapper-1.0.3 emapper DB: 4.5.1
# command: ./emapper.py  -i ../Mcavernosa.proteins.fasta --output Mcavernosa_euk -d euk --usemem --cpu 60
# time: Tue Jul 10 03:58:24 2018
#query_name	COG cat	eggNOG annot
Mcavernosa11715	K	Polymerase (RNA) III (DNA directed) polypeptide E
Mcavernosa11719	O	tripartite motif containing 71, E3 ubiquitin protein ligase
Mcavernosa11726	S	ankyrin repeat domain 63
Mcavernosa11723	S	ankyrin repeat domain 63
Mcavernosa11731	P, T	Polycystic kidney disease
Mcavernosa11727	L	Inherit from KOG: transposon protein
Mcavernosa11721	S	F-box domain
Mcavernosa11722	K	Leukocyte receptor cluster (LRC) member 8
Mcavernosa11724	C	cytochrome C oxidase
Mcavernosa11730	P, T	polycystic kidney disease 1-like 2
Mcavernosa11739	G	Major facilitator superfamily domain containing
Mcavernosa11734	P, T	polycystic kidney disease 1 (autosomal dominant)
Mcavernosa11735	S	FA58C
Mcavernosa11741	P, T	polycystic kidney disease 1-like 2
Mcavernosa11756	G	Solute carrier family 2 (Facilitated glucose transporter) member
Mcavernosa11758	A	Nucleolar protein
Mcavernosa11763	K	Gastrulation brain homeobox
Mcavernosa11757	S	NA
Mcavernosa11764	K	homeobox
Mcavernosa11765	S	GATA zinc finger domain containing 1
Mcavernosa11767	S	GATA zinc finger domain containing 1
Mcavernosa11768	C	Solute carrier family 25 member
Mcavernosa11781	O	Heparan sulfate glucosamine 3-O-sulfotransferase
Mcavernosa11769	S	chromosome 17 open reading frame 104
Mcavernosa11779	O	Heparan sulfate glucosamine 3-O-sulfotransferase
Mcavernosa11776	O	Heparan sulfate glucosamine 3-O-sulfotransferase
Mcavernosa11770	T	-phosphatase
Mcavernosa11774	I	acyl-CoA dehydrogenase
Mcavernosa11787	S	NA
Mcavernosa11785	K	signal transducer and activator of transcription
Mcavernosa11795	T	TNF receptor-associated factor
Mcavernosa11799	T	TNF receptor-associated factor
Mcavernosa11793	T	TNF receptor-associated factor 6, E3 ubiquitin protein ligase
Mcavernosa11798	T	TNF receptor-associated factor
Mcavernosa11801	T	TNF receptor-associated factor
Mcavernosa11805	T	TNF receptor-associated factor
Mcavernosa11815	S	NA
Mcavernosa11817	K	Guanylate binding protein
Mcavernosa11814	U	ADP-ribosylation factor-like
Mcavernosa11816	U	member RAS oncogene family
Mcavernosa11821	S	NA
Mcavernosa11825	D	WD repeat domain 64
Mcavernosa11827	K	Meis homeobox
Mcavernosa11823	D	WD repeat domain 64
Mcavernosa11826	S	protein Hydra magnipapillata
Mcavernosa11834	P	ChaC, cation transport regulator homolog
Mcavernosa11829	I	Steroid-5-alpha-reductase, alpha polypeptide 1 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 1)
Mcavernosa11832	S	Chromosome 6 open reading frame 70
Mcavernosa11833	C	glycerophosphoryl diester phosphodiesterase
Mcavernosa11835	L	DNA helicase component of the INO80 complex which remodels chromatin by shifting nucleosomes and is involved in DNA repair (By similarity)
Mcavernosa11839	T	zinc finger
Mcavernosa11846	I, U	Myotubularin related protein
Mcavernosa11837	T	ankyrin repeat and PH
Mcavernosa11844	S	NA
Mcavernosa11842	S	NA
Mcavernosa11841	L	DNA repair protein rad51
Mcavernosa11843	C	5-methyltetrahydrofolate-homocysteine methyltransferase reductase
Mcavernosa11845	C	5-methyltetrahydrofolate-homocysteine methyltransferase reductase
Mcavernosa11850	S	NA
Mcavernosa11851	S	NA
Mcavernosa11855	Z	Kinesin family member
Mcavernosa11854	A	Symplekin
Mcavernosa11856	A	Symplekin
Mcavernosa11853	U	ADP-ribosylation factor-like
Mcavernosa11859	S	e2F-associated phosphoprotein
Mcavernosa11857	Z	ankyrin repeat domain
Mcavernosa11863	S	Coiled-coil domain containing 104
Mcavernosa11867	G	suppressor of mek1 (Dictyostelium)
Mcavernosa11860	H	progesterone receptor membrane component
Mcavernosa11858	O	tubulin tyrosine ligase-like family, member 12
Mcavernosa11862	S	Inherit from NOG: coiled-coil domain containing 175
Mcavernosa11868	E	Coiledcoil domain containing
Mcavernosa11869	S	Chromosome 14 open reading frame 159
Mcavernosa11875	O	NHL repeat containing 2
Mcavernosa11877	S	NA
Mcavernosa11872	L	Inherit from KOG: Retrotransposon protein
Mcavernosa11893	I	Phospholipase
Mcavernosa11886	T	WD repeat domain 19
Mcavernosa11884	S	NA
Mcavernosa11883	T	7 transmembrane receptor (rhodopsin family)
Mcavernosa11896	T	Tachykinin receptor
Mcavernosa11894	U	Small GTPase component of the coat protein complex II (COPII) which promotes the formation of transport vesicles from the endoplasmic reticulum (ER). The coat has two main functions, the physical deformation of the endoplasmic reticulum membrane into vesicles and the selection of cargo molecules. SAR1 controls the coat assembly in a stepwise manner. Activated SAR1-GTP binds to membranes first and recruits the SEC23 24 complex. These SEC23 24-SAR1 prebudding intermediates are then collected by the SEC13 31 complex as subunits polymerize to form coated transport vesicles. Conversion to SAR1-GDP triggers coat release and recycles COPII subunits (By similarity)
Mcavernosa11904	T	Phosphodiesterase
Mcavernosa11903	T	Phosphodiesterase
Mcavernosa11905	D	MAD2 mitotic arrest deficient-like 2 (yeast)
Mcavernosa11912	S	NA
Mcavernosa11915	K	Zinc finger protein 862
Mcavernosa11914	S	NA
Mcavernosa11910	H	Bifunctional enzyme. Involved in de novo dTMP biosynthesis. Key enzyme in folate metabolism (By similarity)
Mcavernosa11909	Z	Spectrin beta
Mcavernosa11913	L	Reverse transcriptase (RNA-dependent DNA polymerase)
Mcavernosa11924	U	golgi integral membrane protein 4
Mcavernosa11922	Q	Cytochrome P450 family 27 subfamily
Mcavernosa11919	U	Exocyst complex component
Mcavernosa11926	S	ATP-binding cassette, sub-family F
Mcavernosa11917	J	exosome component
Mcavernosa11931	P	acid-sensing (proton-gated) ion channel
Mcavernosa11928	U	SFT2 domain containing
Mcavernosa11929	S	Chromosome 4 open reading frame 33
Mcavernosa11930	P	acid-sensing (proton-gated) ion channel
Mcavernosa11927	S	NA
Mcavernosa11933	P	acid-sensing (proton-gated) ion channel
Mcavernosa11936	E	dopamine beta-hydroxylase (dopamine beta-monooxygenase)
Mcavernosa11938	E	dopamine beta-hydroxylase (dopamine beta-monooxygenase)
Mcavernosa11950	O	Ring finger protein 32
Mcavernosa11951	S	NA
Mcavernosa11945	O	MAM domain containing 4
Mcavernosa11949	S	Translin
Mcavernosa11948	T, V	c-type lectin domain family
Mcavernosa11942	T	MAM domain containing glycosylphosphatidylinositol anchor
Mcavernosa11954	B	Feline leukemia virus subgroup C cellular receptor
Mcavernosa11963	S	NA
Mcavernosa11958	B	Feline leukemia virus subgroup C cellular receptor
Mcavernosa11964	S	NA
Mcavernosa11968	U	annexin A11
Mcavernosa11965	O	proprotein convertase subtilisin kexin type
Mcavernosa11967	Z	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)
Mcavernosa11971	S	transmembrane protein 72
Mcavernosa11970	K	nuclear-transcribed mRNA poly(A) tail shortening
Mcavernosa11984	T	leucine rich repeat containing 56
Mcavernosa11985	T	leucine rich repeat containing 56
Mcavernosa11981	Q	cytochrome P450
Mcavernosa11980	Q	cytochrome P450
Mcavernosa11982	Q	cytochrome P450
Mcavernosa11986	T	Protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (Liprin), alpha
Mcavernosa11992	T	Protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (Liprin), alpha
Mcavernosa11994	S	chromosome 17 open reading frame 66
Mcavernosa11993	I	leucine rich repeat containing
Mcavernosa11988	T	LRR_TYP
Mcavernosa11990	T	leucine rich repeat containing 70
Mcavernosa11989	T	leucine-rich repeat containing G protein-coupled receptor
Mcavernosa12002	S	apolipoprotein l
Mcavernosa11997	S	apolipoprotein l
Mcavernosa11998	S	apolipoprotein l
Mcavernosa12000	S	apolipoprotein l
Mcavernosa12008	S	Ankyrin repeat and sterile alpha motif domain containing 3
Mcavernosa12015	C	glycerophosphodiester phosphodiesterase 1
Mcavernosa12007	L	Endonuclease that specifically degrades the RNA of RNA- DNA hybrids (By similarity)
Mcavernosa12012	E	indoleamine 2,3-dioxygenase
Mcavernosa12004	Z	Actins are highly conserved proteins that are involved in various types of cell motility and are ubiquitously expressed in all eukaryotic cells
Mcavernosa12014	C	glycerophosphodiester phosphodiesterase 1
Mcavernosa12006	E	Transmembrane amino acid transporter protein
Mcavernosa12009	E	Transmembrane amino acid transporter protein
Mcavernosa12003	Z	Actins are highly conserved proteins that are involved in various types of cell motility and are ubiquitously expressed in all eukaryotic cells
Mcavernosa12020	S	kiaa0195
Mcavernosa12027	T	Melatonin receptor
Mcavernosa12023	T	C. elegans
Mcavernosa12022	T	C. elegans
Mcavernosa12026	P	ATPase class II type
Mcavernosa12028	S	Responsible for the deiodination of T4 (3,5,3',5'- tetraiodothyronine) (By similarity)
Mcavernosa12029	S	Responsible for the deiodination of T4 (3,5,3',5'- tetraiodothyronine) (By similarity)
Mcavernosa12030	P, T	polycystic kidney disease 1-like 2
Mcavernosa12045	S	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase
Mcavernosa12042	Z	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)
Mcavernosa12040	Z	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)
Mcavernosa12036	S	Responsible for the deiodination of T4 (3,5,3',5'- tetraiodothyronine) (By similarity)
Mcavernosa12041	Z	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)
Mcavernosa12038	I	SAC1 suppressor of actin mutations 1-like (yeast)
Mcavernosa12047	S	chromosome 19 open reading frame 12
Mcavernosa12046	S	chromosome 19 open reading frame 12
Mcavernosa12043	Z	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)
Mcavernosa12039	L	NudC domain containing 1
Mcavernosa12044	T	TRAF-type zinc finger
Mcavernosa12037	A	NA
Mcavernosa12035	S	Responsible for the deiodination of T4 (3,5,3',5'- tetraiodothyronine) (By similarity)
Mcavernosa12054	L	werner helicase interacting protein
Mcavernosa12050	K	Ankyrin repeat
Mcavernosa12055	F	Dihydroorotate dehydrogenase
Mcavernosa12048	F	5'-nucleotidase
Mcavernosa12056	I	NADH dehydrogenase (ubiquinone) complex I, assembly factor 6
Mcavernosa12052	L	werner helicase interacting protein
Mcavernosa12061	S	coiledcoil domain containing
Mcavernosa12059	S	ANK
Mcavernosa12058	O	ubiquitin-conjugating enzyme
Mcavernosa12060	S	coiledcoil domain containing
Mcavernosa12049	S	piggyBac transposable element derived 4
Mcavernosa12053	U	SYS1 Golgi-localized integral membrane protein homolog (S. cerevisiae)
Mcavernosa12051	U	SYS1 Golgi-localized integral membrane protein homolog (S. cerevisiae)
Mcavernosa12062	T, V	mannose receptor, C type 1
Mcavernosa12081	T	receptor
Mcavernosa12071	T	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase
Mcavernosa12075	S	NA
Mcavernosa12072	T	Neural cell adhesion molecule 2
Mcavernosa12073	I	leucine rich repeat containing
Mcavernosa12080	M	Ankyrin Repeat Protein
Mcavernosa12079	M	Transient receptor potential cation channel subfamily A member
Mcavernosa12094	O	Tissue factor pathway inhibitor (Lipoprotein-associated coagulation inhibitor)
Mcavernosa12093	O	Tissue factor pathway inhibitor (Lipoprotein-associated coagulation inhibitor)
Mcavernosa12101	O	tetratricopeptide repeat domain 28
Mcavernosa12103	T	TIR domain
Mcavernosa12102	S	Armadillo repeat containing 8
Mcavernosa12104	Z	tRNA methyltransferase 11-2 homolog
Mcavernosa12107	S	Transmembrane protein 131
Mcavernosa12106	K	Tax1 (human T-cell leukemia virus type I) binding protein 1
Mcavernosa12109	S	Transmembrane protein 131
Mcavernosa12113	T	Melatonin receptor
Mcavernosa12114	K	CCR4-NOT transcription complex subunit
Mcavernosa12116	L	Inherit from KOG: Retrotransposon protein
Mcavernosa12126	T	SH3-domain binding protein 2
Mcavernosa12124	T	SH3-domain binding protein 2
Mcavernosa12123	S	Reverse transcriptase (RNA-dependent DNA polymerase)
Mcavernosa12131	T	Gamma-aminobutyric acid (GABA) A receptor
Mcavernosa12127	Z	Kinesin family member
Mcavernosa12129	T	Gamma-aminobutyric acid (GABA) A receptor
Mcavernosa12133	T	Gamma-aminobutyric acid (GABA) A receptor
Mcavernosa12132	T	Gamma-aminobutyric acid (GABA) A receptor
Mcavernosa12130	T	Gamma-aminobutyric acid (GABA) A receptor
Mcavernosa12140	O	chromosome 19 open reading frame 47
Mcavernosa12138	I	synthase
Mcavernosa12136	S	NA
Mcavernosa12139	I	synthase
Mcavernosa12134	T	sidekick cell adhesion molecule 2
Mcavernosa12148	P	solute carrier family 9, subfamily A
Mcavernosa12142	U	melanoma inhibitory activity family, member 3
Mcavernosa12155	O	cartilage intermediate layer protein
Mcavernosa12156	O	cartilage intermediate layer protein
Mcavernosa12150	O	cartilage intermediate layer protein
Mcavernosa12163	S	BRO1 domain and CAAX motif containing
Mcavernosa12157	O	cartilage intermediate layer protein
Mcavernosa12161	O	cartilage intermediate layer protein
Mcavernosa12162	O	Ring finger protein
Mcavernosa12165	E	3-dehydroquinate synthase
Mcavernosa12176	O	tripartite motif containing 71, E3 ubiquitin protein ligase
Mcavernosa12173	O	tripartite motif containing 45
Mcavernosa12174	O	tripartite motif containing 71, E3 ubiquitin protein ligase
Mcavernosa12168	T	Melatonin receptor
Mcavernosa12166	E	3-dehydroquinate synthase
Mcavernosa12172	O	tripartite motif containing 71, E3 ubiquitin protein ligase
Mcavernosa12169	S	region-containing chitin-binding protein
Mcavernosa12177	S	Inherit from NOG: von Willebrand factor type D protein
Mcavernosa12179	H	Membrane frizzled-related protein
Mcavernosa12191	J	Binds directly to 23S ribosomal RNA and is necessary for the in vitro assembly process of the 50S ribosomal subunit. It is not involved in the protein synthesizing functions of that subunit (By similarity)
Mcavernosa12182	K	AT hook containing transcription factor 1
Mcavernosa12187	S	NA
Mcavernosa12190	S	Coiledcoil domain containing
Mcavernosa12186	S	NA
Mcavernosa12195	U	family with sequence similarity 69, member B
Mcavernosa12193	S	Armadillo repeat containing 9
Mcavernosa12198	O	meprin A, beta
Mcavernosa12202	V	Retrotransposon protein
Mcavernosa12211	S	NA
Mcavernosa12210	S	Zinc finger, DHHC-type containing 6
Mcavernosa12206	P, Q	NADPH- oxidase
Mcavernosa12215	P	Solute carrier family 12 (Potassium chloride transporters), member 8
Mcavernosa12204	T	C. elegans
Mcavernosa12205	T	Estrogen receptor binding site associated, antigen, 9
Mcavernosa12208	L	dna ligase
Mcavernosa12213	Z	Dynein, axonemal, light intermediate chain 1
Mcavernosa31637	A	ATP-dependent RNA Helicase
Mcavernosa31654	T	Calcium-binding EGF domain
Mcavernosa31648	J	methionyl-tRNA synthetase
Mcavernosa31642	K	Achalasia, adrenocortical insufficiency, alacrimia
Mcavernosa31649	T	Gamma-aminobutyric acid (GABA) B receptor
Mcavernosa31652	T	SH3-domain binding protein 5 (BTK-associated)
Mcavernosa31640	L	dna replication licensing factor
Mcavernosa31651	U	Synaptosomal-associated protein
Mcavernosa31659	S	NA
Mcavernosa31657	T	Calcium-binding EGF domain
Mcavernosa31660	K	t-box transcription factor
Mcavernosa31664	S	NA
Mcavernosa31670	O	Ring finger protein 123
Mcavernosa31667	O	RING
Mcavernosa31669	O	Ring finger protein 123
Mcavernosa31671	A	Rna-binding protein
Mcavernosa31678	A	Rna-binding protein
Mcavernosa31681	S	GRIP1 associated protein 1
Mcavernosa31679	A	Helicase with zinc finger
Mcavernosa31688	T	receptor
Mcavernosa31689	T	receptor
Mcavernosa31684	U	TBC1 domain family member
Mcavernosa31687	T	Tachykinin receptor
Mcavernosa31690	T	Hypocretin orexin receptor
Mcavernosa31693	U	Signal sequence receptor delta
Mcavernosa31695	O	HECT domain containing E3 ubiquitin protein ligase 4
Mcavernosa31698	O	HECT-domain (ubiquitin-transferase)
Mcavernosa31696	O	HECT domain containing E3 ubiquitin protein ligase 4
Mcavernosa31692	S	UTP23, small subunit (SSU) processome component, homolog (yeast)
Mcavernosa31694	E	Peptidase M20 domain containing 1
Mcavernosa31705	S	Transmembrane protein 248
Mcavernosa31703	K	Max binding protein
Mcavernosa31702	D	MORC family CW-type zinc finger
Mcavernosa31714	S	NA
Mcavernosa31707	U	Vacuolar Protein
Mcavernosa31715	S	Eukaryotic cobalamin-binding protein
Mcavernosa31708	S	NA
Mcavernosa31717	S	Trichoplein, keratin filament binding
Mcavernosa31713	U	Vacuolar Protein
Mcavernosa31710	S	Eukaryotic cobalamin-binding protein
Mcavernosa31722	D	Cell division control protein
Mcavernosa31719	T	LIM domain kinase
Mcavernosa31734	J	pumilio homolog
Mcavernosa31726	C	Isocitrate lyase
Mcavernosa31725	C	Isocitrate lyase
Mcavernosa31727	C	Isocitrate lyase
Mcavernosa31731	Z	Growth arrest-specific 2 like
Mcavernosa31733	S	NA
Mcavernosa31735	O	Proteasome (Prosome, macropain) 26S subunit, non-ATPase, 10
Mcavernosa31739	A	Gem (Nuclear organelle) associated protein 7
Mcavernosa31751	K	PR domain containing 14
Mcavernosa31747	Q	alcohol dehydrogenase
Mcavernosa31745	T	grancalcin, EF-hand calcium binding protein
Mcavernosa31744	Q	alcohol dehydrogenase
Mcavernosa31746	Q	alcohol dehydrogenase
Mcavernosa31743	T	grancalcin, EF-hand calcium binding protein
Mcavernosa31762	S	NA
Mcavernosa31756	F	ribose-phosphate pyrophosphokinase
Mcavernosa31758	S	F-box protein 16
Mcavernosa31765	H	YdiU domain protein
Mcavernosa31766	H	YdiU domain protein
Mcavernosa31767	T	Glutamate receptor, ionotropic
Mcavernosa31752	O	Removes the N-terminal methionine from nascent proteins (By similarity)
Mcavernosa31783	Z	dynein, axonemal, heavy chain 6
Mcavernosa31773	T	growth hormone inducible transmembrane protein
Mcavernosa31774	T	growth hormone inducible transmembrane protein
Mcavernosa31784	Z	dynein, axonemal, heavy chain 6
Mcavernosa31788	P	potassium voltage-gated channel, Shal-related subfamily, member
Mcavernosa31787	P	potassium voltage-gated channel, Shal-related subfamily, member
Mcavernosa31789	U	Pituitary tumor-transforming 1 interacting protein
Mcavernosa31801	P	Family with sequence similarity 20, member
Mcavernosa31807	S	Transmembrane protein 181
Mcavernosa31795	O	Tnf receptor-associated factor 2
Mcavernosa31809	T	BCL-2-associated athanogene
Mcavernosa31803	B	Lysine-Specific histone Demethylase
Mcavernosa31805	B	Lysine-Specific histone Demethylase
Mcavernosa31799	K	Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors
Mcavernosa31810	O	unfolded protein binding
Mcavernosa31815	L	reductase
Mcavernosa31818	T	Progestin and adipoQ receptor family member
Mcavernosa31811	O	DnaJ (Hsp40) homolog, subfamily B, member
Mcavernosa31814	K	POU class
Mcavernosa31824	L	helicase (DNA) B
Mcavernosa31821	L	poly ADP-ribose polymerase
Mcavernosa31825	L	helicase (DNA) B
Mcavernosa31830	T	regulator of calcineurin
Mcavernosa31836	Q	o-methyltransferase
Mcavernosa31829	T	Thrombospondin type 1 domain
Mcavernosa31837	Q	o-methyltransferase
Mcavernosa31832	S	proteasomal ATPase-associated factor 1
Mcavernosa31831	T	T-cell lymphoma invasion and metastasis
Mcavernosa31827	L	helicase (DNA) B
Mcavernosa31846	S	NA
Mcavernosa31845	O	GSK3B interacting protein
Mcavernosa31849	T	cholinergic receptor, nicotinic
Mcavernosa31850	S	GLI pathogenesis-related 2
Mcavernosa31847	T	cholinergic receptor, nicotinic
Mcavernosa31854	T	Tachykinin receptor
Mcavernosa31857	T	calcium calmodulin-dependent protein kinase
Mcavernosa31856	B	ER lipid raft associated
Mcavernosa31865	U	Anoctamin
Mcavernosa31863	L	2',3'-cyclic nucleotide 3' phosphodiesterase
Mcavernosa31859	E	Gamma-glutamyltransferase
Mcavernosa31864	U	Anoctamin
Mcavernosa31858	S	piggyBac transposable element derived 4
Mcavernosa31870	K	to reverse transcriptase
Mcavernosa31872	O	Ubiquitin-conjugating enzyme E2 variant
Mcavernosa31869	Z	Dynein, axonemal heavy chain
Mcavernosa31876	C	nose resistant to fluoxetine protein 6-like
Mcavernosa31878	J	Catalyzes the synthesis of dihydrouridine, a modified base found in the D-loop of most tRNAs (By similarity)
Mcavernosa31877	J	Catalyzes the synthesis of dihydrouridine, a modified base found in the D-loop of most tRNAs (By similarity)
Mcavernosa31881	A	Splicing factor 3b subunit
Mcavernosa31880	A	Splicing factor 3b subunit
Mcavernosa31879	P	solute carrier family 6 (neurotransmitter transporter)
Mcavernosa31882	A	Splicing factor 3b subunit
Mcavernosa31890	S	zinc finger, MYND-type containing 19
Mcavernosa31891	K	Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor-like 1
Mcavernosa31887	Q	glutathione synthetase
Mcavernosa31886	Q	glutathione synthetase
Mcavernosa31896	J	Mitochondrial ribosomal protein S18B
Mcavernosa31894	K	LIM homeobox transcription factor 1
Mcavernosa31895	T	protein phosphatase 1, regulatory subunit 10
Mcavernosa31899	Z	IG
Mcavernosa31906	L	Reverse transcriptase (RNA-dependent DNA polymerase)
Mcavernosa31911	S	NA
Mcavernosa31909	S	NA
Mcavernosa31914	S	NA
Mcavernosa31915	S	ShK domain-like
Mcavernosa31932	T	insulin receptor substrate
Mcavernosa31931	A	ATPdependent RNA helicase
Mcavernosa31925	T	PH domain
Mcavernosa31927	A	ATPdependent RNA helicase
Mcavernosa31935	S	extended synaptotagmin-like protein
Mcavernosa31930	T	kelch-like
Mcavernosa31933	K	Homeodomain transcription factor
Mcavernosa31928	T	kelch-like
Mcavernosa31936	S	extended synaptotagmin-like protein
Mcavernosa31944	A	FF domain
Mcavernosa31937	E	Nitrilase family, member 2
Mcavernosa31940	K	Inherit from COG: acetyltransferase
Mcavernosa31941	K	Inherit from COG: acetyltransferase
Mcavernosa31939	S	N-acetyltransferase
Mcavernosa31947	I	NA
Mcavernosa31949	T	Prolactin releasing hormone receptor
Mcavernosa31946	D	inner centromere protein antigens 135 155kDa
Mcavernosa31943	T	DENN MADD domain containing
Mcavernosa31942	A	PRP40 pre-mRNA processing factor 40 homolog
Mcavernosa31945	U	family with sequence similarity 69, member B
Mcavernosa31957	S	centromere protein
Mcavernosa31951	Z	dynein heavy chain 1, axonemal-like
Mcavernosa31954	Z	dynein, axonemal, heavy chain 1
Mcavernosa31956	S	NA
Mcavernosa31953	Z	dynein heavy chain 1, axonemal-like
Mcavernosa31972	T	receptor
Mcavernosa31961	O	NA
Mcavernosa31964	T	mitogen-activated protein kinase 8 interacting protein
Mcavernosa31959	J	60s ribosomal protein
Mcavernosa31963	S	FA58C
Mcavernosa31960	S	Nipsnap homolog
Mcavernosa31974	T	ankyrin repeat
Mcavernosa31975	K	Zinc finger protein
Mcavernosa31984	Q	Phenylalanine ammonialyase
Mcavernosa31979	L	Zinc finger, NFX1-type containing 1
Mcavernosa31981	E	urocanate hydratase 1
Mcavernosa31989	T	unc-5 homolog
Mcavernosa31991	V	Inherit from KOG: Dual specificity phosphatase
Mcavernosa31992	T	Pentaxin family
Mcavernosa32002	S	G patch domain containing 2
Mcavernosa32000	S	Inherit from NOG: Resistance protein
Mcavernosa32008	S	Junctophilin
Mcavernosa32003	S	HYDIN, axonemal central pair apparatus protein
Mcavernosa32011	I	Lysophosphatidylcholine acyltransferase
Mcavernosa32015	T	Oxidative stress induced growth inhibitor
Mcavernosa32016	J	eukaryotic translation initiation factor 2
Mcavernosa32014	I	Lysophosphatidylcholine acyltransferase
Mcavernosa32023	S	ddb1 and cul4 associated factor
Mcavernosa32020	S	ER membrane protein complex subunit
Mcavernosa32033	V	AarF domain containing kinase
Mcavernosa32036	O	E3 ubiquitin- protein ligase
Mcavernosa32030	S	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 8
Mcavernosa32025	I	inositol-trisphosphate 3-kinase
Mcavernosa32028	S	SprT-like N-terminal domain
Mcavernosa32029	C	Dehydrogenase
Mcavernosa32031	I	sphingolipid
Mcavernosa32027	S	SprT-like N-terminal domain
Mcavernosa32039	O	Tubulin tyrosine ligase-like family, member
Mcavernosa32041	S	NA
Mcavernosa32042	S	NA
Mcavernosa32038	T	kelch-like
Mcavernosa32037	U	annexin A7
Mcavernosa32045	T	immunoglobulin superfamily DCC subclass member 3
Mcavernosa32054	S	NA
Mcavernosa32053	O	tripartite motif containing 71, E3 ubiquitin protein ligase
Mcavernosa32051	O	ubiquitin-conjugating enzyme
Mcavernosa32048	S	Alcohol acetyltransferase
Mcavernosa32049	E	methyltransferase like 15
Mcavernosa32055	O	tripartite motif containing 71, E3 ubiquitin protein ligase
Mcavernosa32052	U	Endoplasmic reticulumgolgi intermediate compartment protein
Mcavernosa32056	T	cholinergic receptor, nicotinic
Mcavernosa32060	P	Chromosome 6 open reading frame 106
Mcavernosa32064	G	chondroitin sulfate
Mcavernosa32062	S	PA14 domain
Mcavernosa32058	T	Cholinergic receptor, nicotinic, alpha
Mcavernosa32059	O	Usher syndrome 1C (autosomal recessive, severe)
Mcavernosa32068	S	Amino acid kinase family
Mcavernosa32063	S	PA14 domain
Mcavernosa32065	G	chondroitin sulfate
Mcavernosa32066	S	PA14 domain
Mcavernosa32070	Z	myosin light chain
Mcavernosa32087	A	serine arginine-rich splicing factor
Mcavernosa32088	A	serine arginine-rich splicing factor
Mcavernosa32085	O	Ubiquitination factor E4B
Mcavernosa32089	A	serine arginine-rich splicing factor
Mcavernosa32096	S	NA
Mcavernosa32092	P, T	Inherit from KOG: Growth factor receptor
Mcavernosa32097	S	NA
Mcavernosa32104	P	solute carrier family 34 (sodium phosphate), member
Mcavernosa32102	S	NA
Mcavernosa32105	T	C. elegans
Mcavernosa32103	C	Subunit of the peripheral V1 complex of vacuolar ATPase essential for assembly or catalytic function. V-ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells (By similarity)
Mcavernosa32098	K	Transmembrane protein 120B
Mcavernosa32101	L	Inherit from KOG: transposon protein
Mcavernosa32100	S	NA
Mcavernosa32107	K	phosphopantothenate-cysteine ligase
Mcavernosa32109	T	Immunoglobulin (CD79A) binding protein 1
Mcavernosa32112	T	Immunoglobulin (CD79A) binding protein 1
Mcavernosa32108	S	chromosome 7 open reading frame 55
Mcavernosa32117	E, I	carboxylase, beta
Mcavernosa32121	J	Ribosome biogenesis protein nsa-2
Mcavernosa32127	S	Gon-4-like (C. elegans)
Mcavernosa32122	C, G	Inherit from KOG: UDP-Glycosyltransferase
Mcavernosa32123	O	atp-dependent clp protease ATP-binding subunit
Mcavernosa32132	S	NA
Mcavernosa32130	T, V	collagen, type IV, alpha 3 (Goodpasture antigen) binding protein
Mcavernosa32133	T	GRB2-related adaptor protein
Mcavernosa32131	Q	Cytochrome P450, family
Mcavernosa32140	T	Guanylate cyclase
Mcavernosa32137	T	GTPase Activating protein
Mcavernosa32138	T	Guanylate cyclase
Mcavernosa32134	T	GTPase Activating protein
Mcavernosa32150	S	RWD domain containing
Mcavernosa32147	S	NA
Mcavernosa32146	S	NA
Mcavernosa32145	U	sorting nexin
Mcavernosa32149	P	solute carrier family 4
Mcavernosa32159	O	NA
Mcavernosa32151	O	ubiquitin carboxyl-terminal hydrolase
